Code,Country,State,Zip/Post Code,Rate,Zip/Post is Range,Range From,Range To,default
US-WI-53001-Rate 1,US,WI,53001,5,,,,
US-WI-53002-Rate 1,US,WI,53002,5.6,,,,
US-WI-53003-Rate 1,US,WI,53003,5.5,,,,
US-WI-53004-Rate 1,US,WI,53004,5.6,,,,
US-WI-53005-Rate 1,US,WI,53005,5.1,,,,
US-WI-53006-Rate 1,US,WI,53006,5.5,,,,
US-WI-53006-Rate 1,US,WI,53006,5.5,,,,
US-WI-53006-Rate 1,US,WI,53006,5.5,,,,
US-WI-53007-Rate 1,US,WI,53007,5.1,,,,
US-WI-53008-Rate 1,US,WI,53008,5.1,,,,
US-WI-53010-Rate 1,US,WI,53010,5,,,,
US-WI-53011-Rate 1,US,WI,53011,5,,,,
US-WI-53012-Rate 1,US,WI,53012,5.6,,,,
US-WI-53013-Rate 1,US,WI,53013,5,,,,
US-WI-53014-Rate 1,US,WI,53014,5,,,,
US-WI-53015-Rate 1,US,WI,53015,5,,,,
US-WI-53016-Rate 1,US,WI,53016,5.5,,,,
US-WI-53017-Rate 1,US,WI,53017,5.6,,,,
US-WI-53018-Rate 1,US,WI,53018,5.1,,,,
US-WI-53019-Rate 1,US,WI,53019,5,,,,
US-WI-53020-Rate 1,US,WI,53020,5,,,,
US-WI-53021-Rate 1,US,WI,53021,5.6,,,,
US-WI-53021-Rate 1,US,WI,53021,5.6,,,,
US-WI-53022-Rate 1,US,WI,53022,5.6,,,,
US-WI-53022-Rate 1,US,WI,53022,5.6,,,,
US-WI-53023-Rate 1,US,WI,53023,5,,,,
US-WI-53024-Rate 1,US,WI,53024,5.6,,,,
US-WI-53026-Rate 1,US,WI,53026,5,,,,
US-WI-53027-Rate 1,US,WI,53027,5.6,,,,
US-WI-53029-Rate 1,US,WI,53029,5.1,,,,
US-WI-53029-Rate 1,US,WI,53029,5.1,,,,
US-WI-53031-Rate 1,US,WI,53031,5,,,,
US-WI-53032-Rate 1,US,WI,53032,5.5,,,,
US-WI-53033-Rate 1,US,WI,53033,5.6,,,,
US-WI-53034-Rate 1,US,WI,53034,5.5,,,,
US-WI-53035-Rate 1,US,WI,53035,5.5,,,,
US-WI-53036-Rate 1,US,WI,53036,5.5,,,,
US-WI-53037-Rate 1,US,WI,53037,5.6,,,,
US-WI-53038-Rate 1,US,WI,53038,5.5,,,,
US-WI-53039-Rate 1,US,WI,53039,5.5,,,,
US-WI-53040-Rate 1,US,WI,53040,5.6,,,,
US-WI-53042-Rate 1,US,WI,53042,5,,,,
US-WI-53044-Rate 1,US,WI,53044,5,,,,
US-WI-53045-Rate 1,US,WI,53045,5.1,,,,
US-WI-53046-Rate 1,US,WI,53046,5.1,,,,
US-WI-53047-Rate 1,US,WI,53047,5.5,,,,
US-WI-53048-Rate 1,US,WI,53048,5.5,,,,
US-WI-53048-Rate 1,US,WI,53048,5.5,,,,
US-WI-53049-Rate 1,US,WI,53049,5,,,,
US-WI-53050-Rate 1,US,WI,53050,5.5,,,,
US-WI-53051-Rate 1,US,WI,53051,5.1,,,,
US-WI-53052-Rate 1,US,WI,53052,5.1,,,,
US-WI-53056-Rate 1,US,WI,53056,5.1,,,,
US-WI-53057-Rate 1,US,WI,53057,5,,,,
US-WI-53058-Rate 1,US,WI,53058,5.1,,,,
US-WI-53058-Rate 1,US,WI,53058,5.1,,,,
US-WI-53059-Rate 1,US,WI,53059,5.5,,,,
US-WI-53060-Rate 1,US,WI,53060,5.6,,,,
US-WI-53061-Rate 1,US,WI,53061,5,,,,
US-WI-53062-Rate 1,US,WI,53062,5,,,,
US-WI-53062-Rate 1,US,WI,53062,5,,,,
US-WI-53063-Rate 1,US,WI,53063,5,,,,
US-WI-53064-Rate 1,US,WI,53064,5.1,,,,
US-WI-53065-Rate 1,US,WI,53065,5,,,,
US-WI-53066-Rate 1,US,WI,53066,5.1,,,,
US-WI-53069-Rate 1,US,WI,53069,5.1,,,,
US-WI-53070-Rate 1,US,WI,53070,5,,,,
US-WI-53072-Rate 1,US,WI,53072,5.1,,,,
US-WI-53073-Rate 1,US,WI,53073,5,,,,
US-WI-53074-Rate 1,US,WI,53074,5.6,,,,
US-WI-53075-Rate 1,US,WI,53075,5,,,,
US-WI-53076-Rate 1,US,WI,53076,5.6,,,,
US-WI-53078-Rate 1,US,WI,53078,5.5,,,,
US-WI-53079-Rate 1,US,WI,53079,5,,,,
US-WI-53080-Rate 1,US,WI,53080,5.6,,,,
US-WI-53081-Rate 1,US,WI,53081,5,,,,
US-WI-53082-Rate 1,US,WI,53082,5,,,,
US-WI-53083-Rate 1,US,WI,53083,5,,,,
US-WI-53083-Rate 1,US,WI,53083,5,,,,
US-WI-53083-Rate 1,US,WI,53083,5,,,,
US-WI-53085-Rate 1,US,WI,53085,5,,,,
US-WI-53086-Rate 1,US,WI,53086,5.6,,,,
US-WI-53088-Rate 1,US,WI,53088,5,,,,
US-WI-53089-Rate 1,US,WI,53089,5.1,,,,
US-WI-53089-Rate 1,US,WI,53089,5.1,,,,
US-WI-53090-Rate 1,US,WI,53090,5.6,,,,
US-WI-53090-Rate 1,US,WI,53090,5.6,,,,
US-WI-53091-Rate 1,US,WI,53091,5.5,,,,
US-WI-53092-Rate 1,US,WI,53092,5.6,,,,
US-WI-53092-Rate 1,US,WI,53092,5.6,,,,
US-WI-53093-Rate 1,US,WI,53093,5,,,,
US-WI-53094-Rate 1,US,WI,53094,5.5,,,,
US-WI-53095-Rate 1,US,WI,53095,5.6,,,,
US-WI-53095-Rate 1,US,WI,53095,5.6,,,,
US-WI-53097-Rate 1,US,WI,53097,5.6,,,,
